evaluation_id,axis,purpose,LOCAL_TYPE_1,LOCAL_TYPE_2,LOCAL_TYPE_7,LOCAL_TYPE_12,LOCAL_TYPE_17,LOCAL_TYPE_30,profile_mse_kcal2_mol2,regularization,objective
EVAL_00147,PHI,optimization,0.2046110486902447,0.0,0.15,0.002,0.25,0.143,10.58811566318115,0.0011658446946050882,10.589281507875754
EVAL_00148,PHI,optimization,0.20460606400234393,0.0,0.15,0.0,0.25,0.143,10.551600036388256,0.0011905438315356392,10.552790580219792
EVAL_00149,PHI,optimization,0.20660606400234394,0.0,0.15,0.0,0.25,0.143,10.551553259444677,0.0012026408017760143,10.552755900246453
EVAL_00150,PHI,optimization,0.20460606400234393,0.0,0.15,0.002,0.25,0.143,10.58812658607977,0.0011658149425756393,10.589292401022346
EVAL_00151,PHI,optimization,0.20460606334794415,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.0011905438276298638,10.552763177992194
EVAL_00152,PHI,optimization,0.20660606334794415,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.0012026407977655349,10.552740102017362
EVAL_00153,PHI,optimization,0.20460606334794415,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.0011658149386698639,10.589305798270514
EVAL_00154,PHI,optimization,0.20460606277576598,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.0011905438242148269,10.55276317798878
EVAL_00155,PHI,optimization,0.206606062775766,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.0012026407942589497,10.552740102013855
EVAL_00156,PHI,optimization,0.20460606277576598,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.001165814935254827,10.5893057982671
EVAL_00157,PHI,optimization,0.20460606270387752,0.0,0.15,0.0,0.25,0.143,10.551572634164565,0.0011905438237857617,10.55276317798835
EVAL_00158,PHI,optimization,0.20660606270387752,0.0,0.15,0.0,0.25,0.143,10.551537461219596,0.0012026407938183822,10.552740102013415
EVAL_00159,PHI,optimization,0.20460606270387752,0.0,0.15,0.002,0.25,0.143,10.588139983331844,0.0011658149348257618,10.58930579826667
EVAL_00160,PSI,optimization,0.13,0.0,0.15,0.155555556,0.25,0.143,18.501624567423814,0.0,18.501624567423814
EVAL_00161,PSI,optimization,0.13,0.002,0.15,0.155555556,0.25,0.143,18.490836344302398,1.6e-07,18.490836504302397
EVAL_00162,PSI,optimization,0.13,0.0,0.152,0.155555556,0.25,0.143,18.508368553333025,1.600000000000003e-07,18.508368713333024
EVAL_00163,PSI,optimization,0.13,2.0,0.0,0.155555556,0.25,0.143,12.928326715732405,0.16090000000000002,13.089226715732405
EVAL_00164,PSI,optimization,0.13,1.998,0.0,0.155555556,0.25,0.143,12.926492201402064,0.16058016000000003,13.087072361402065
EVAL_00165,PSI,optimization,0.13,2.0,0.002,0.155555556,0.25,0.143,12.945660800164344,0.16087616000000002,13.106536960164345
EVAL_00166,PSI,optimization,0.13,1.6903567628602236,0.0,0.155555556,0.25,0.143,12.794309301372323,0.11519223942989176,12.909501540802214
EVAL_00167,PSI,optimization,0.13,1.6923567628602236,0.0,0.155555556,0.25,0.143,12.794619102225129,0.11546285651194942,12.910081958737079
EVAL_00168,PSI,optimization,0.13,1.6903567628602236,0.002,0.155555556,0.25,0.143,12.810054139635128,0.11516839942989178,12.92522253906502
EVAL_00169,PSI,optimization,0.13,1.576170135775325,0.0,0.155555556,0.25,0.143,12.792767079075455,0.10027249187640026,12.893039570951855
EVAL_00170,PSI,optimization,0.13,1.578170135775325,0.0,0.155555556,0.25,0.143,12.79254792830179,0.10052483909812432,12.893072767399914
EVAL_00171,PSI,optimization,0.13,1.576170135775325,0.002,0.155555556,0.25,0.143,12.80781875803379,0.10024865187640027,12.90806740991019
EVAL_00172,PSI,optimization,0.13,1.569243159173445,0.0,0.155555556,0.25,0.143,12.793482747326047,0.09940096370450617,12.892883711030553
EVAL_00173,PSI,optimization,0.13,1.571243159173445,0.0,0.155555556,0.25,0.143,12.793264032098392,0.09965220260997391,12.892916234708366
EVAL_00174,PSI,optimization,0.13,1.569243159173445,0.002,0.155555556,0.25,0.143,12.808566859034503,0.09937712370450617,12.90794398273901
EVAL_00175,PSI,optimization,0.13,1.541535252765925,0.0,0.155555556,0.25,0.143,12.797245897163068,0.09595323742080418,12.893199134583872
EVAL_00176,PSI,optimization,0.13,1.543535252765925,0.0,0.155555556,0.25,0.143,12.796823971578243,0.09620004306124673,12.89302401463949
EVAL_00177,PSI,optimization,0.13,1.541535252765925,0.002,0.155555556,0.25,0.143,12.812170460496244,0.09592939742080418,12.908099857917048
EVAL_00178,PSI,optimization,0.13,1.558142661037324,0.0,0.155555556,0.25,0.143,12.79465063955476,0.09801234208577891,12.89266298164054
EVAL_00179,PSI,optimization,0.13,1.560142661037324,0.0,0.155555556,0.25,0.143,12.794397333604175,0.09826180491154489,12.89265913851572
EVAL_00180,PSI,optimization,0.13,1.558142661037324,0.002,0.155555556,0.25,0.143,12.809685555323778,0.09798850208577893,12.907674057409556
EVAL_00181,PSI,optimization,0.13,1.5600131425307424,0.0,0.155555556,0.25,0.143,12.794405894645049,0.0982456401947457,12.892651534839795
EVAL_00182,PSI,optimization,0.13,1.5620131425307424,0.0,0.155555556,0.25,0.143,12.79415177374284,0.09849540229755062,12.892647176040391
EVAL_00183,PSI,optimization,0.13,1.5600131425307424,0.002,0.155555556,0.25,0.143,12.809372575947306,0.0982218001947457,12.907594376142052
